ID, URL, RETWEET ID, TEXT, USER NAME, SCREEN NAME, CREATED, FINDER
1126207186206691329,https://twitter.com/statuses/1126207186206691329,1128449877929799681,"RT @DomainBrandsUK: https://t.co/KGTCrKddkA Domain name for Sale #business #entrepreneur #SiliconValley #paloalto #Seattle #technology #Dig…","Postal Robot",PostalRobot,"Tue, 14 May 2019 23:59:51 +0000", Foxtrot
1128416462312562689,https://twitter.com/statuses/1128416462312562689,1128449867389579265,"RT @iotforall: Smart cities are prime targets for cyber attacks. Flash-to-cloud technology secures smart cities via a secure channel betwee…","Intelligent Edge",EdgeIotAi,"Tue, 14 May 2019 23:59:48 +0000", Foxtrot
1128449507665035270,https://twitter.com/statuses/1128449507665035270,1128449760971481088,"RT @TheIoT: How IoT Could Feed the World https://t.co/mZWZMcOWdu #IoT","Security Testing",sectest9,"Tue, 14 May 2019 23:59:23 +0000", Foxtrot
1128449327754563584,https://twitter.com/statuses/1128449327754563584,1128449687843942401,"RT @bitlattice: Join the #Bitlattice #Meetup on 16 May 6pm at @Hafven Hannover, Germany #IoT contact @anna_blume_hh https://t.co/yIZVYDGce5…","Bitlattice Avatar Polska",BitlatticePL,"Tue, 14 May 2019 23:59:05 +0000", Foxtrot
1128449501667237891,https://twitter.com/statuses/1128449501667237891,1128449501667237891,"The Importance of IoT Device Testing https://t.co/CAih53aUGp #IoT","Internet of Things",TheIoT,"Tue, 14 May 2019 23:58:21 +0000", Foxtrot
1128449414044033024,https://twitter.com/statuses/1128449414044033024,1128449414044033024,"#IoT #Microsoft   ""To promote interoperability &amp; to alleviate concerns of vendor lock-in, IoT Plug &amp; Play device de… https://t.co/mvcF9eu2F9","ioteconomist",ioteconomist,"Tue, 14 May 2019 23:58:00 +0000", Foxtrot
1128282869405835264,https://twitter.com/statuses/1128282869405835264,1128449266668716035,"RT @wil_bielert: RT @DalithSteiger: #AIBest of @Fisher85M  https://t.co/PaGinRjiWS  How is #ArtificialIntelligence Revolutionizing Business…","Swarm Together",SwarmTogether,"Tue, 14 May 2019 23:57:25 +0000", Foxtrot
1128402730530295819,https://twitter.com/statuses/1128402730530295819,1128449219335946240,"RT @NetFoundry: NetFoundry team member Jim Clardy will be attending Bosch Connected World this week in Berlin. We're looking forward to div…","michael callahan",callahanmc,"Tue, 14 May 2019 23:57:14 +0000", Foxtrot
1128373932149624833,https://twitter.com/statuses/1128373932149624833,1128449095641726978,"RT @BlackBerry: As news outlets report on yet another vulnerability, it’s time we ask ourselves: with all the different methods we use to c…","Linda Breidbach",LindaBreidbach,"Tue, 14 May 2019 23:56:44 +0000", Foxtrot
1128416711370334208,https://twitter.com/statuses/1128416711370334208,1128449027266293760,"RT @vmwareIoT: ""Don't do IoT until you know you have the right security strategy."" @BaskIyer, CIO, @VMware &amp; GM for Edge Computing &amp; IoT at…","Intelligent Edge",EdgeIotAi,"Tue, 14 May 2019 23:56:28 +0000", Foxtrot
1128279557314883584,https://twitter.com/statuses/1128279557314883584,1128448972266385413,"RT @Paula_Piccard: A look inside how the @Waymo #SelfDrivingCars work  #AutonomousVehicles #DriverlessCars #DigitalTransformation #IoT   @S…","sari chevalier",sarichevalier1,"Tue, 14 May 2019 23:56:15 +0000", Foxtrot
